RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
64,Tommy Pham,TB,567,77,155,33,2,21,68,25,4,81,123,0.273,0.369,0.45,0.818,3.7
65,Corey Seager,LAD,489,82,133,44,1,19,87,1,0,44,98,0.272,0.335,0.483,0.817,4
66,Vladimir Guerrero Jr.,TOR,464,52,126,26,2,15,69,0,1,46,91,0.272,0.339,0.433,0.772,2.1
67,Starlin Castro,MIA,636,68,172,31,4,22,86,2,2,28,111,0.27,0.3,0.436,0.736,0.8
68,Eduardo Escobar,ARI,636,94,171,29,10,35,118,5,1,50,130,0.269,0.32,0.511,0.831,4.2
69,Eloy Jimenez,CHW,468,69,125,18,2,31,79,0,0,30,134,0.267,0.315,0.513,0.828,1.4
70,Matt Olson,OAK,483,73,129,26,0,36,91,0,0,51,138,0.267,0.351,0.545,0.896,5.1
71,Yasiel Puig,CLE/CIN,555,76,148,30,2,24,84,19,7,44,133,0.267,0.327,0.458,0.785,1.3
72,Alex Gordon,KC,556,77,148,31,1,13,76,5,3,51,100,0.266,0.345,0.396,0.741,1.4
73,Andrew Benintendi,BOS,541,72,144,40,5,13,68,10,3,59,140,0.266,0.343,0.431,0.774,1.7
74,Eric Hosmer,SD,619,72,164,29,2,22,99,0,3,40,163,0.265,0.31,0.425,0.735,-0.3
75,Jorge Soler,KC,589,95,156,33,1,48,117,3,1,73,178,0.265,0.354,0.569,0.922,3.7
76,Shin-Soo Choo,TEX,563,93,149,31,2,24,61,15,1,78,165,0.265,0.371,0.455,0.826,1.6
77,Luke Voit,NYY,429,72,113,21,1,21,62,0,0,71,142,0.263,0.378,0.464,0.842,1.9
78,Brian Anderson,MIA,459,57,120,33,1,20,66,5,1,44,114,0.261,0.342,0.468,0.811,3.8
79,Freddy Galvis,TOR/CIN,557,67,145,28,1,23,70,4,2,28,145,0.26,0.296,0.438,0.734,1.6
80,Bryce Harper,PHI,573,98,149,36,1,35,114,15,3,99,178,0.26,0.372,0.51,0.882,4.2
81,Adam Jones,ARI,485,66,126,25,1,16,67,2,1,31,101,0.26,0.313,0.414,0.728,-0.4
82,Lorenzo Cain,MIL,562,75,146,30,0,11,48,18,8,50,106,0.26,0.325,0.372,0.697,2.8
83,Pete Alonso,NYM,597,103,155,30,2,53,120,1,0,72,183,0.26,0.358,0.583,0.941,5
84,Asdrubal Cabrera,TEX/WSH,447,69,116,25,1,18,91,4,0,57,103,0.26,0.342,0.441,0.783,1.7
85,Christian Walker,ARI,529,86,137,26,1,29,73,8,1,67,155,0.259,0.348,0.476,0.825,2.8
86,Josh Donaldson,ATL,549,96,142,33,0,37,94,4,2,100,155,0.259,0.379,0.521,0.9,6.1
87,Kevin Pillar,TOR/SF,611,83,158,37,3,21,88,14,5,18,89,0.259,0.287,0.432,0.719,1
88,Michael Conforto,NYM,549,90,141,29,1,33,92,7,2,84,149,0.257,0.363,0.494,0.856,3.5
89,Manny Machado,SD,587,81,150,21,2,32,85,5,3,65,128,0.256,0.334,0.462,0.796,3.1
90,Jose Ramirez,CLE,482,68,123,33,3,23,83,24,4,52,74,0.255,0.327,0.479,0.806,3.3
91,Victor Robles,WSH,546,86,139,33,3,17,65,28,9,35,140,0.255,0.326,0.419,0.745,4.1
92,Mike Moustakas,MIL,523,80,133,30,1,35,87,3,0,53,98,0.254,0.329,0.516,0.845,3.2
93,Willy Adames,TB,531,69,135,25,1,20,52,4,2,46,153,0.254,0.317,0.418,0.735,4.2
94,Evan Longoria,SF,453,59,115,19,2,20,69,3,1,43,112,0.254,0.325,0.437,0.762,2.4
95,Nick Ahmed,ARI,556,79,141,33,6,19,82,8,2,52,113,0.254,0.316,0.437,0.753,4.5
96,Domingo Santana,SEA,451,63,114,20,1,21,69,8,3,50,164,0.253,0.329,0.441,0.77,0.4
97,Yolmer Sanchez,CHW,496,59,125,20,4,2,43,5,4,44,117,0.252,0.318,0.321,0.638,2.1
98,Max Kepler,MIN,524,98,132,32,0,36,90,1,5,60,99,0.252,0.336,0.519,0.855,4
99,Dansby Swanson,ATL,483,77,121,26,3,17,65,10,5,51,124,0.251,0.325,0.422,0.748,0.9
100,Max Muncy,LAD,487,101,122,22,1,35,98,4,1,90,149,0.251,0.374,0.515,0.889,5.7
101,Brett Gardner,NYY,491,86,123,26,7,28,74,10,2,52,108,0.251,0.325,0.503,0.829,4
102,Ryan McMahon,COL,480,70,120,22,1,24,83,5,1,56,160,0.25,0.329,0.45,0.779,1.5
103,Franmil Reyes,CLE/SD,494,69,123,19,0,37,81,0,0,47,156,0.249,0.31,0.512,0.822,0.3
104,Joc Pederson,LAD,450,83,112,16,3,36,74,1,1,50,111,0.249,0.339,0.538,0.876,3.3
105,Matt Chapman,OAK,583,102,145,36,3,36,91,1,1,73,147,0.249,0.342,0.506,0.848,6.7
106,Yasmani Grandal,MIL,513,79,126,26,2,28,77,5,1,109,139,0.246,0.38,0.468,0.848,2.5
107,Jason Kipnis,CLE,458,52,112,23,1,17,65,7,2,40,88,0.245,0.304,0.41,0.715,0.5
108,Albert Pujols,LAA,491,55,120,22,0,23,93,3,0,43,68,0.244,0.305,0.43,0.734,0.4
109,Renato Nunez,BAL,541,72,132,24,0,31,90,1,1,44,143,0.244,0.311,0.46,0.771,1.1
110,Brandon Belt,SF,526,76,123,32,3,17,57,4,3,83,127,0.234,0.339,0.403,0.742,0.6
111,Randal Grichuk,TOR,586,75,136,29,5,31,80,2,1,35,163,0.232,0.28,0.457,0.738,0.3
112,Kole Calhoun,LAA,552,92,128,29,1,33,74,4,1,70,162,0.232,0.325,0.467,0.792,2.3
113,Brandon Crawford,SF,500,58,114,24,2,11,59,3,2,53,117,0.228,0.304,0.35,0.654,0.6
114,Mallex Smith,SEA,510,70,116,19,9,6,37,46,9,42,141,0.227,0.3,0.335,0.635,-0.1
115,Rhys Hoskins,PHI,570,86,129,33,5,29,85,2,2,116,173,0.226,0.364,0.454,0.819,1.5
116,Jackie Bradley Jr.,BOS,494,69,111,28,3,21,62,8,6,56,155,0.225,0.317,0.421,0.738,2
117,Orlando Arcia,MIL,494,51,110,16,1,15,59,8,5,43,109,0.223,0.283,0.35,0.633,-0.1
118,Khris Davis,OAK,481,61,106,11,0,23,73,0,0,47,146,0.22,0.293,0.387,0.679,-0.3
119,Jurickson Profar,OAK,459,65,100,24,2,20,67,9,1,48,75,0.218,0.301,0.41,0.711,0.8
120,Daniel Vogelbach,SEA,462,73,96,17,0,30,76,0,0,92,149,0.208,0.341,0.439,0.78,1.4
121,Rougned Odor,TEX,522,77,107,30,1,30,93,11,9,52,178,0.205,0.283,0.439,0.721,-0.3
